Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-start-paper-prec-00, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, true.x0_00.nc, 975M ,998396
, true.x0_01.nc, 975M ,998396
, true.x0_02.nc, 975M ,998396
, true.x0_03.nc, 975M ,998396
, true.x0_04.nc, 930M ,951880
, true.x0_05.nc, 929M ,950868
, true.x0_06.nc, 929M ,950868
, true.x0_07.nc, 929M ,950868
, true.x0_08.nc, 929M ,950868
, true.x0_09.nc, 929M ,950868
, true.x0_10.nc, 929M ,950868
, true.x0_11.nc, 929M ,950868
, true.x0_12.nc, 929M ,950868
, true.x0_13.nc, 929M ,950868
, true.x0_14.nc, 929M ,950868
, true.x0_15.nc, 929M ,950868
u-ch427-n216-start-paper-prec-00,,Total Size,15405020

